player_name,posicion,equipo,marketValue,pred_var_1d,pred_pct_1d,pred_mv_mañana
Alberto Flores,40,Real Oviedo SAD,595263,-80.90714,-0.01,595182.0928573608
Ilic,30,Real Oviedo SAD,598010,-80.90714,-0.01,597929.0928573608
Karrikaburu,40,Real Sociedad de Fútbol SAD,596321,-80.90714,-0.01,596240.0928573608
Manu G.,10,Real Betis Balompié SAD,594961,-80.90714,-0.01,594880.0928573608
Lucas Núñez,30,Valencia Club de Fútbol SAD,594961,-80.90714,-0.01,594880.0928573608
Hugo Lopez,30,Villarreal Club de Fútbol SAD,594961,-80.90714,-0.01,594880.0928573608
M. Santos,10,Athletic Club,595412,-80.90714,-0.01,595331.0928573608
Robert Navarro,20,Valencia Club de Fútbol SAD,594961,-80.90714,-0.01,594880.0928573608
Germán,10,Real Betis Balompié SAD,595415,-80.90714,-0.01,595334.0928573608
Urko Izeta,40,Athletic Club,596374,-80.90714,-0.01,596293.0928573608
Kostis,20,Club Atlético de Madrid SAD,595181,-80.90714,-0.01,595100.0928573608
Monreal,20,Athletic Club,594988,-80.90714,-0.01,594907.0928573608
Ballestero,20,Deportivo Alavés SAD,594988,-80.90714,-0.01,594907.0928573608
Rayane,40,Club Atlético de Madrid SAD,595585,-80.90714,-0.01,595504.0928573608
Egoitz M.l.,20,Deportivo Alavés SAD,590992,-80.90714,-0.01,590911.0928573608
Lucas Laso,20,Getafe Club de Fútbol SAD,590992,-80.90714,-0.01,590911.0928573608
H. González,30,Real Club Celta de Vigo SAD,590992,-80.90714,-0.01,590911.0928573608
Portu,40,Girona Fútbol Club SAD,596950,-80.90714,-0.01,596869.0928573608
Adama,20,Athletic Club,595412,-80.90714,-0.01,595331.0928573608
Miguel Rubio,20,RCD Espanyol de Barcelona,598698,-80.90714,-0.01,598617.0928573608
Aidoo,20,Real Club Celta de Vigo SAD,597048,-80.90714,-0.01,596967.0928573608
Gumbau,30,Rayo Vallecano de Madrid SAD,596754,-80.90714,-0.01,596673.0928573608
Javi Llabrés,40,Real Club Deportivo Mallorca SAD,595386,-80.90714,-0.01,595305.0928573608
Lekue,20,Athletic Club,598767,-80.90714,-0.01,598686.0928573608
Panach,20,Valencia Club de Fútbol SAD,589357,-80.90714,-0.01,589276.0928573608
Vesga,30,Athletic Club,596402,-80.90714,-0.01,596321.0928573608
Marín,30,Real Sociedad de Fútbol SAD,602774,-116.34814,-0.02,602657.6518630981
Mateu Morey,20,Real Club Deportivo Mallorca SAD,598783,-253.73325,-0.04,598529.2667541504
Víctor Chust,20,Elche Club de Fútbol SAD,598894,-253.73325,-0.04,598640.2667541504
Alemão,40,Rayo Vallecano de Madrid SAD,614595,-311.36038,-0.05,614283.6396179199
Sow,30,Sevilla Fútbol Club SAD,606481,-311.36038,-0.05,606169.6396179199
