player_name,posicion,equipo,marketValue,pred_var_1d,pred_pct_1d,pred_mv_mañana,mv_real_9feb,var_real_api,var_real,var_real_pct,error_abs,error_pct,error_con_signo,pred_sube,real_sube,acierto_direccion
Dimitrievski,1,Valencia Club de Fútbol SAD,600408.0,737.9363,0.12,601145.9362792969,600408.0,2107.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Thierry Correia,2,Valencia Club de Fútbol SAD,601770.0,737.9363,0.12,602507.9362792969,601770.0,2051.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Pablo García,4,Real Betis Balompié SAD,604282.0,737.9363,0.12,605019.9362792969,604282.0,1946.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Nianzou,2,Sevilla Fútbol Club SAD,595996.0,737.9363,0.12,596733.9362792969,595996.0,2291.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Pau Navarro,2,Villarreal Club de Fútbol SAD,596504.0,737.9363,0.12,597241.9362792969,596504.0,2270.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Marrero,1,Real Sociedad de Fútbol SAD,595220.0,737.9363,0.12,595957.9362792969,595220.0,2323.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Kambwala,0,Villarreal Club de Fútbol SAD,599942.0,737.9363,0.12,600679.9362792969,599942.0,2127.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Manu Bueno,3,Sevilla Fútbol Club SAD,595416.0,737.9363,0.12,596153.9362792969,595416.0,2315.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Marco Esteban,2,Real Oviedo SAD,595333.0,737.9363,0.12,596070.9362792969,595333.0,2319.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Omar Falah,2,Real Oviedo SAD,595416.0,737.9363,0.12,596153.9362792969,595416.0,2315.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Denis Suárez,3,Deportivo Alavés SAD,602656.0,737.9363,0.12,603393.9362792969,602656.0,2014.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Joel Roca,4,Girona Fútbol Club SAD,603446.0,737.9363,0.12,604183.9362792969,603446.0,1981.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Iker Losada,4,Levante Unión Deportiva SAD,597252.0,737.9363,0.12,597989.9362792969,597252.0,2239.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Toni Fernández,4,Fútbol Club Barcelona,595162.0,737.9363,0.12,595899.9362792969,595162.0,2326.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Jofre,2,Fútbol Club Barcelona,595272.0,737.9363,0.12,596009.9362792969,596333.0,2277.0,1061.0,0.18,323.063720703125,0.05,-323.063720703125,True,True,True
Kochen,1,Fútbol Club Barcelona,596434.0,737.9363,0.12,597171.9362792969,596434.0,2273.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Padilla,1,Athletic Club,596658.0,737.9363,0.12,597395.9362792969,596658.0,2263.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Juan Carlos,1,Girona Fútbol Club SAD,596256.0,737.9363,0.12,596993.9362792969,596256.0,2280.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Trejo,3,Rayo Vallecano de Madrid SAD,598350.0,737.9363,0.12,599087.9362792969,598350.0,2193.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Gumbau,3,Rayo Vallecano de Madrid SAD,596754.0,737.9363,0.12,597491.9362792969,596754.0,2259.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Miguel Rubio,2,RCD Espanyol de Barcelona,598698.0,737.9363,0.12,599435.9362792969,598698.0,2178.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Luiz Felipe,2,Rayo Vallecano de Madrid SAD,606668.0,737.9363,0.12,607405.9362792969,606668.0,1846.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Adama,2,Athletic Club,595412.0,737.9363,0.12,596149.9362792969,595412.0,2315.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Raúl Fernández,1,Deportivo Alavés SAD,595240.0,737.9363,0.12,595977.9362792969,595240.0,2323.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Josan,3,Elche Club de Fútbol SAD,596456.0,737.9363,0.12,597193.9362792969,596456.0,2272.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Cuéllar,1,Real Club Deportivo Mallorca SAD,595474.0,737.9363,0.12,596211.9362792969,595474.0,2313.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Moldovan,1,Real Oviedo SAD,596207.0,737.9363,0.12,596944.9362792969,596207.0,2282.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Javi Llabrés,4,Real Club Deportivo Mallorca SAD,595386.0,737.9363,0.12,596123.9362792969,595386.0,2317.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Marc Vidal,0,Real Sociedad de Fútbol SAD,595482.0,737.9363,0.12,596219.9362792969,595482.0,2313.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Fraga,1,Real Sociedad de Fútbol SAD,600205.0,737.9363,0.12,600942.9362792969,600205.0,2116.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Iván Villar,1,Real Club Celta de Vigo SAD,595842.0,737.9363,0.12,596579.9362792969,595842.0,2297.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Vesga,3,Athletic Club,596402.0,737.9363,0.12,597139.9362792969,596402.0,2274.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Lucas Laso,2,Getafe Club de Fútbol SAD,590992.0,737.9363,0.12,591729.9362792969,590992.0,2500.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Álvaro García,0,Deportivo Alavés SAD,590992.0,737.9363,0.12,591729.9362792969,17899880.0,68105.0,17308888.0,2928.79,17308150.063720703,96.69,-17308150.063720703,True,True,True
Portu,4,Girona Fútbol Club SAD,596950.0,737.9363,0.12,597687.9362792969,596950.0,2251.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Guevara,3,Deportivo Alavés SAD,597556.0,737.9363,0.12,598293.9362792969,597556.0,2226.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Nyland,1,Sevilla Fútbol Club SAD,620607.0,619.6779,0.1,621226.6779174805,620607.0,1266.0,0.0,0.0,619.6779174804688,0.1,619.6779174804688,True,True,True
