id,name,position,team_id,market_value,market_variation,date,points,jornada,season
70476,M. Diarra,2.0,542,553629.0,4304.0,2026-01-01,,,
70500,Sergi Cardona,2.0,533,9712938.0,-121027.0,2026-01-01,3.0,17.0,2025.0
84086,Robert Navarro,3.0,531,917834.0,-10871.0,2026-01-01,2.0,17.0,2025.0
91745,Alemão,4.0,728,646628.0,429.0,2026-01-01,,,
101814,Araújo,2.0,529,4991943.0,-77560.0,2026-01-01,,,
104821,Guridi,3.0,542,580883.0,3169.0,2026-01-01,1.0,17.0,2025.0
104832,Diego Pampín,2.0,539,551559.0,4391.0,2026-01-01,0.0,17.0,2025.0
104949,Pablo Martínez,3.0,539,602082.0,2285.0,2026-01-01,1.0,17.0,2025.0
106727,Oriol Rey,3.0,539,568533.0,3683.0,2026-01-01,2.0,17.0,2025.0
107140,Oier Luengo,2.0,718,552695.0,4343.0,2026-01-01,0.0,17.0,2025.0
107194,Antonio S.,3.0,798,556200.0,4197.0,2026-01-01,6.0,17.0,2025.0
108519,Mateu Morey,2.0,798,568937.0,3666.0,2026-01-01,2.0,17.0,2025.0
119213,Alfon González,4.0,536,766082.0,-4548.0,2026-01-01,2.0,17.0,2025.0
119742,Juan Iglesias,2.0,546,1122207.0,-19386.0,2026-01-01,-3.0,17.0,2025.0
122657,Nteka,4.0,728,556834.0,4171.0,2026-01-01,,,
122734,Ferran Jutglà,4.0,538,1380316.0,-27197.0,2026-01-01,4.0,17.0,2025.0
122956,Conde,1.0,533,575379.0,3398.0,2026-01-01,,,
125239,Kevin Arriaga,3.0,539,703438.0,-1938.0,2026-01-01,1.0,17.0,2025.0
126640,Affengruber,2.0,797,21098066.0,-177174.0,2026-01-01,8.0,17.0,2025.0
127426,Pol Lozano,3.0,540,759557.0,-4276.0,2026-01-01,2.0,17.0,2025.0
128398,Sancet,3.0,531,14384428.0,-77000.0,2026-01-01,1.0,17.0,2025.0
128582,De Frutos,4.0,728,24633606.0,-627601.0,2026-01-01,,,
128951,Víctor Parada,2.0,542,555123.0,4242.0,2026-01-01,-5.0,17.0,2025.0
128985,Iker Losada,3.0,539,559039.0,4079.0,2026-01-01,2.0,17.0,2025.0
129678,A. Ounahi,3.0,547,8576702.0,12145.0,2026-01-01,,,
129718,Bellingham,3.0,541,137223338.0,-30170.0,2026-01-01,14.0,17.0,2025.0
131546,Isi,4.0,728,8995731.0,-58119.0,2026-01-01,2.0,17.0,2025.0
131548,Lucas Ahijado,2.0,718,556910.0,4168.0,2026-01-01,8.0,17.0,2025.0
133110,Nianzou,2.0,536,555235.0,4237.0,2026-01-01,,,
133185,Johnny Cardoso,3.0,530,1823262.0,-38270.0,2026-01-01,0.0,17.0,2025.0
